# tracer: function
#
# function latency trace v1.1.5 on 2.6.39
# --------------------------------------------------------------------
# latency: 0 us, #59981/96762, CPU#0 | (M:preempt VP:0, KP:0, SP:0 HP:0 #P:1)
#    -----------------
#    | task: -0 (uid:0 nice:0 policy:0 rt_prio:0)
#    -----------------
#
#                  _------=> CPU#            
#                 / _-----=> irqs-off        
#                | / _----=> need-resched    
#                || / _---=> hardirq/softirq 
#                ||| / _--=> preempt-depth   
#                |||| /     delay             
#  cmd     pid   ||||| time  |   caller      
#     \   /      |||||  \    |   /           
      sh-1       0.... 25361246us+: copy_to_user <-tty_mode_ioctl
      sh-1       0.... 25361249us+: __copy_to_user_ll <-copy_to_user
      sh-1       0.... 25361253us+: tty_ldisc_deref <-tty_ioctl
      sh-1       0.... 25361256us+: put_ldisc <-tty_ldisc_deref
      sh-1       0.... 25361260us+: __wake_up <-put_ldisc
      sh-1       0.... 25361263us+: _raw_spin_lock_irqsave <-__wake_up
      sh-1       0d..1 25361267us+: __wake_up_common <-__wake_up
      sh-1       0d..1 25361270us+: _raw_spin_unlock_irqrestore <-__wake_up
      sh-1       0.... 25361281us+: sys_rt_sigaction <-sysenter_do_call
      sh-1       0.... 25361284us+: _copy_from_user <-sys_rt_sigaction
      sh-1       0.... 25361287us+: __copy_from_user_ll <-_copy_from_user
      sh-1       0.... 25361293us+: do_sigaction <-sys_rt_sigaction
      sh-1       0.... 25361296us+: _raw_spin_lock_irq <-do_sigaction
      sh-1       0d..1 25361335us+: rm_from_queue_full <-do_sigaction
      sh-1       0d..1 25361368us+: rm_from_queue_full <-do_sigaction
      sh-1       0d..1 25361372us!: _raw_spin_unlock_irq <-do_sigaction
      sh-1       0d... 25361483us+: smp_apic_timer_interrupt <-apic_timer_interrupt
      sh-1       0d... 25361487us+: native_apic_mem_write <-smp_apic_timer_interrupt
      sh-1       0d... 25361492us+: irq_enter <-smp_apic_timer_interrupt
      sh-1       0d... 25361495us+: rcu_irq_enter <-irq_enter
